time,cost_of_transfer_usd,cost_of_transfer_eth
2022-01-22 02:00:00.000 UTC,,0.003098089664166
2023-04-20 14:00:00.000 UTC,,0.001563401514591
2023-09-06 15:00:00.000 UTC,,0.000704918520033
2021-11-01 20:00:00.000 UTC,,0.00507539554452
2022-09-18 14:00:00.000 UTC,,0.000144623718834
2023-08-18 19:00:00.000 UTC,,0.000653928270639
2023-04-11 00:00:00.000 UTC,0.8824802576943497,0.000466084777935
2023-06-21 18:00:00.000 UTC,,0.000647508320214
2022-12-01 14:00:00.000 UTC,,0.000303762742878
2022-12-25 22:00:00.000 UTC,,0.000224158550091
2023-01-26 19:00:00.000 UTC,,0.000534914949387
2022-03-03 14:00:00.000 UTC,,0.001514076651066
2023-08-19 13:00:00.000 UTC,,0.000318170483589
2022-04-12 07:00:00.000 UTC,,0.000712859962521
2022-12-16 16:00:00.000 UTC,,0.000549051685581
2023-06-09 08:00:00.000 UTC,,0.000466908059352
2022-11-06 17:00:00.000 UTC,,0.000309495042549
2023-03-06 16:00:00.000 UTC,,0.000874717077423
2023-01-23 22:00:00.000 UTC,,0.000398371997961
2022-11-29 18:00:00.000 UTC,,0.000324227392314
2023-03-16 13:00:00.000 UTC,,0.000525238254093
2023-02-18 06:00:00.000 UTC,,0.000591926536047
2023-01-13 07:00:00.000 UTC,,0.000378372905547
2022-09-12 11:00:00.000 UTC,,0.000308987955465
2021-11-10 08:00:00.000 UTC,,0.002704028033385
2023-06-08 16:00:00.000 UTC,,0.000651968461788
2022-06-14 10:00:00.000 UTC,,0.000857182180239
2021-10-12 22:00:00.000 UTC,,0.002115292426737
2023-05-24 23:00:00.000 UTC,,0.00076396997313
2022-02-14 22:00:00.000 UTC,,0.001565812244094
2022-07-10 10:00:00.000 UTC,,0.00023460494253
2022-06-20 01:00:00.000 UTC,,0.000385299204003
2023-01-30 21:00:00.000 UTC,,0.000436110398367
2022-10-07 20:00:00.000 UTC,,0.000177497522181
2022-02-08 05:00:00.000 UTC,,0.001648175901435
2023-07-14 14:00:00.000 UTC,,0.000822089786322
2023-01-07 12:00:00.000 UTC,,0.000311863192473
2023-04-30 04:00:00.000 UTC,,0.000719353267878
2021-11-17 23:00:00.000 UTC,,0.002838886283163
2023-07-24 13:00:00.000 UTC,,0.000879952966263
2023-06-30 00:00:00.000 UTC,0.930558738780369,0.000480799579827
2022-03-01 17:00:00.000 UTC,,0.001436698365144
2022-07-24 06:00:00.000 UTC,,0.000145174451667
2023-08-02 03:00:00.000 UTC,,0.00036332174298
2023-04-18 20:00:00.000 UTC,,0.001628939739147
2023-08-01 05:00:00.000 UTC,,0.000330438534279
2023-06-15 10:00:00.000 UTC,,0.000413377198374
2023-08-24 03:00:00.000 UTC,,0.000326427787539
2022-09-14 07:00:00.000 UTC,,0.000212112878061
2023-04-30 22:00:00.000 UTC,,0.000859110707574
2023-06-01 12:00:00.000 UTC,,0.000749032906881
2023-02-06 14:00:00.000 UTC,,0.000580034166243
2023-08-05 00:00:00.000 UTC,0.6354562666319457,0.000345644077212
2023-04-10 09:00:00.000 UTC,,0.000433125811083
2021-10-25 10:00:00.000 UTC,,0.001319252476773
2022-05-23 06:00:00.000 UTC,,0.000390285533148
2022-09-12 13:00:00.000 UTC,,0.00050910151782
2023-08-29 14:00:00.000 UTC,,0.001823175483003
2021-11-02 04:00:00.000 UTC,,0.003602812778481
2022-02-18 09:00:00.000 UTC,,0.002635426338888
2023-07-28 14:00:00.000 UTC,,0.000787531179393
2022-04-01 15:00:00.000 UTC,,0.002034708909177
2022-03-24 23:00:00.000 UTC,,0.000874971409389
2022-01-25 20:00:00.000 UTC,,0.004472525832936
2021-12-28 11:00:00.000 UTC,,0.001111284037059
2021-11-08 03:00:00.000 UTC,,0.002825017410453
2022-04-18 06:00:00.000 UTC,,0.000527066438325
2022-09-01 07:00:00.000 UTC,,0.000284651931522
2023-07-16 02:00:00.000 UTC,,0.000310850461845
2022-03-14 17:00:00.000 UTC,,0.000741070282743
2021-11-09 05:00:00.000 UTC,,0.003279000892755
2021-10-20 10:00:00.000 UTC,,0.001075193780199
2023-03-27 07:00:00.000 UTC,,0.000376190472567
2022-07-11 19:00:00.000 UTC,,0.000751567187028
2023-06-02 13:00:00.000 UTC,,0.000812076071268
